Value, Label 
1, Spain  
2, Argentina  
3, Bolivia 
4, Bulgaria 
5,Chile 
6, China  
7, Colombia  
8, Cuba 
9, Ecuador 
10, Phillipines  
11, Equatorial Guinea 
12, Morocco  
13, Peru  
14, Poland 
15, Dominican Republic  
16, Romania  
17, Ukraine 
18, Venezuela 
19, OtherEastern Europe 
20, OtherWestern Europe  
21, OtherNorth Africa 
22, OtherSubsaharan Africa 
23, OtherCentral or South America  
24, OtherCaribbean 
25, OtherNorth America 
26, OtherAsia 
27, OtherMiddle East 
28, Othercountry not listed elsewhere 
29, NA
30, Bangladesh 
31, Brazil 
32, Honduras 
33, India 
34, Pakistan 
35, Russia
36, Uruguay 
